level,school_year,school,attending_neighborhood_school,oe_in_from_district,oe_in_from_outside,placements_into_school,unmatched_addresses,total_within_bvsd,total_enrollment,pct_from_neighborhood_area,year
elementary,2016-2017,Peak to Peak,,327.0,123.0,1.0,,328.0,451.0,,2017
elementary,2016-2017,Horizons,,227.0,4.0,,1.0,228.0,232.0,,2017
elementary,2016-2017,Contracted Ed Prog,,0.0,,,,0.0,0.0,,2017
elementary,2016-2017,Pioneer,,342.0,63.0,28.0,,370.0,433.0,,2017
elementary,2016-2017,Uni-Hill Int.,,373.0,24.0,25.0,,398.0,422.0,,2017
elementary,2016-2017,Comm. Montessori,,235.0,14.0,2.0,,237.0,251.0,,2017
elementary,2016-2017,High Peaks,,281.0,9.0,,,281.0,290.0,,2017
elementary,2016-2017,Boulder Explorer,,10.0,1.0,,,10.0,11.0,,2017
elementary,2016-2017,BCSIS,,304.0,4.0,1.0,,305.0,309.0,,2017
elementary,2016-2017,Nederland Elem.,256.0,2.0,2.0,,1.0,259.0,261.0,,2017
elementary,2016-2017,Jamestown,6.0,13.0,,,,19.0,19.0,,2017
elementary,2016-2017,Gold Hill,9.0,17.0,,,,26.0,26.0,,2017
elementary,2016-2017,Superior,413.0,44.0,8.0,,,457.0,465.0,,2017
elementary,2016-2017,Eldorado K-8,368.0,49.0,27.0,5.0,1.0,423.0,450.0,,2017
elementary,2016-2017,Monarch K-8,242.0,86.0,39.0,8.0,2.0,338.0,377.0,,2017
elementary,2016-2017,Louisville Elem.,520.0,38.0,1.0,9.0,1.0,568.0,569.0,,2017
elementary,2016-2017,Fireside,338.0,79.0,10.0,16.0,,433.0,443.0,,2017
elementary,2016-2017,Coal Creek,365.0,42.0,9.0,1.0,,408.0,417.0,,2017
elementary,2016-2017,Sanchez,286.0,46.0,4.0,5.0,3.0,340.0,344.0,,2017
elementary,2016-2017,Ryan,325.0,82.0,17.0,8.0,1.0,416.0,433.0,,2017
elementary,2016-2017,Lafayette Elem.,549.0,64.0,14.0,6.0,,619.0,633.0,,2017
elementary,2016-2017,Kohl,276.0,91.0,77.0,9.0,,376.0,453.0,,2017
elementary,2016-2017,Emerald,253.0,27.0,55.0,5.0,4.0,289.0,344.0,,2017
elementary,2016-2017,Birch,251.0,38.0,64.0,15.0,,304.0,368.0,,2017
elementary,2016-2017,Aspen Creek K-8,317.0,92.0,56.0,7.0,1.0,417.0,473.0,,2017
elementary,2016-2017,Whittier,376.0,39.0,9.0,,,415.0,424.0,,2017
elementary,2016-2017,Mesa *,222.0,55.0,3.0,7.0,,284.0,287.0,,2017
elementary,2016-2017,Heatherwood,320.0,16.0,17.0,7.0,,343.0,360.0,,2017
elementary,2016-2017,Foothill,481.0,49.0,3.0,8.0,,538.0,541.0,,2017
elementary,2016-2017,Flatirons,177.0,73.0,4.0,,,250.0,254.0,,2017
elementary,2016-2017,Eisenhower,318.0,76.0,3.0,21.0,,415.0,418.0,,2017
elementary,2016-2017,Douglass,352.0,72.0,8.0,2.0,,426.0,434.0,,2017
elementary,2016-2017,Crest View,538.0,53.0,7.0,8.0,,599.0,606.0,,2017
elementary,2016-2017,Creekside *,220.0,41.0,5.0,14.0,1.0,276.0,281.0,,2017
elementary,2016-2017,Columbine,399.0,76.0,2.0,6.0,3.0,484.0,486.0,,2017
elementary,2016-2017,Bear Creek *,392.0,43.0,2.0,1.0,,436.0,438.0,,2017
elementary,2017-2018,Peak to Peak,,335.0,113.0,2.0,0.0,337.0,450.0,,2018
elementary,2017-2018,Horizons,,229.0,4.0,1.0,0.0,230.0,234.0,,2018
elementary,2017-2018,Pioneer,,353.0,63.0,28.0,0.0,381.0,444.0,,2018
elementary,2017-2018,Uni-Hill Int.,,371.0,23.0,27.0,2.0,400.0,423.0,,2018
